"Printer","Model","Serial Number","Memory","Print Speed","Color","Duplex","Copy","Scan to Fax","Scan to Email","Scan to Network","Fax Receive","Workflow Profile Capable","eSF Capable"
"10.198.12.86","Lexmark C520","4L9KY500","","","","","","","","","","",""
"10.198.12.90","Lexmark E450dn","6229TR3","","","","","","","","","","",""
"10.198.12.172","Lexmark T650","ADU10000","","","","","","","","","","",""
"10.198.13.45","Lexmark C925","NOD6RIC","","","","","","","","","","",""
"10.198.14.124","Lexmark MS812","406312790006G","","","","","","","","","","",""
"10.198.13.61","Lexmark T652","793B871","","","","","","","","","","",""
"10.198.13.74","Lexmark X860de","0655252","","","","","","","","","","",""
"10.198.14.5","Lexmark CS510","502794PTB2227","512 MB","","Y","N","N","N","N","N","N","N","N"
"10.198.14.11","Lexmark 6500e","SKU7KY","","","","","","","","","","",""
"10.198.13.235","Lexmark X644e","8KJ51800","","","","","","","","","","",""
"10.198.14.19","Lexmark X264dn","0603161","","","","","","","","","","",""
"10.198.14.58","Lexmark C920","322079W","","","","","","","","","","",""
"10.198.14.74","Lexmark X656de","793HWFR","","","","","","","","","","",""
"10.198.14.97","Lexmark E460dw","JZI08C00","","","","","","","","","","",""
"10.198.14.128","Lexmark MS812","40631279000BY","","","","","","","","","","",""
"10.198.14.178","Lexmark X646e","NFAESV40","","","","","","","","","","",""
"10.198.14.201","Lexmark X738","752694PTBA052","","","","","","","","","","",""
"10.198.14.210","Lexmark X736de","DVTR030","","","","","","","","","","",""
"10.198.14.229","Lexmark CS410","502794PTB2104","","","","","","","","","","",""
"10.198.15.64","Lexmark E360dn","NNEE0I70","","","","","","","","","","",""
"10.198.16.69","Lexmark X646e","790MMG7","","","","","","","","","","",""
"10.198.16.67","Lexmark Pro710 Series","444911990H076","","","","","","","","","","",""
"10.198.16.104","Lexmark X945e","0210049","","","","","","","","","","",""
"10.198.16.109","Lexmark X658de","793YGDD","","","","","","","","","","",""
"10.198.16.135","Lexmark MS610de","4514PTB300522","","","","","","","","","","",""
"10.198.16.166","Lexmark X463de","FQFQGI00","","","","","","","","","","",""
"10.198.16.196","Lexmark Pro710 Series","","","","","","","","","","","",""
"10.198.16.216","Lexmark X734de","1DVT022","","","","","","","","","","",""
"10.198.16.248","Lexmark Pro5500 Series","4447AA1700022","","","","","","","","","","",""
"10.198.16.252","Lexmark X646e","792340D","","","","","","","","","","",""
"10.198.17.10","Lexmark X422","8907BZZ","","","","","","","","","","",""
"10.198.17.61","Lexmark T632","4125788","","","","","","","","","","",""
"10.198.17.101","Lexmark X646e","791201V","","","","","","","","","","",""
"10.198.17.109","Lexmark X142","NAQMHOY0","","","","","","","","","","",""
"10.198.17.99","Lexmark X204n","hydra","","","","","","","","","","",""
"10.198.17.144","Lexmark X925","NXB6I8C00000000000000000000000000","","","","","","","","","","",""
"10.198.17.148","Lexmark CX410de","752794PTB1021","","","","","","","","","","",""
"10.198.17.158","Lexmark C772","NCJ6K770","","","","","","","","","","",""
"10.198.17.167","Lexmark X654de","79G0X3Z","","","","","","","","","","",""
"10.198.17.252","Lexmark He","4514PTB300561","","","","","","","","","","",""
"10.198.18.50","Lexmark X792","7562029400DZF","","","","","","","","","","",""
"10.198.18.81","Lexmark X466dte","N9PNBN80","","","","","","","","","","",""
"10.198.18.102","Lexmark X548dte","VKDVT19400038","","","","","","","","","","",""
"10.198.19.5","Lexmark CX510de","385034PTB1084","","","","","","","","","","",""
"10.198.19.23","Lexmark Pro910 Series","","","","","","","","","","","",""
"10.198.19.55","Lexmark Pro5500 Series","EVERDVT5AIO6007","","","","","","","","","","",""
"10.198.19.58","Lexmark MS510dn","4514207200045","","","","","","","","","","",""
"10.198.18.147","Lexmark X464de","NXNJ5DY0","","","","","","","","","","",""
"10.198.19.69","Lexmark T656","DVT0035","","","","","","","","","","",""
"10.198.19.73","Lexmark MX611dhe","4514PTB300171","","","","","","","","","","",""
"157.184.5.46","Lexmark X792","7562029400G11","","","","","","","","","","",""
"157.184.5.49","Lexmark X656de","793350M","","","","","","","","","","",""
"157.184.5.48","Lexmark Pro5000 Series","K2DVT5AIO4021","","","","","","","","","","",""
"157.184.5.47","Lexmark X464de","35P022T","","","","","","","","","","",""
"157.184.5.67","Lexmark X945e","0910357","","","","","","","","","","",""
"157.184.5.91","Lexmark X644e","crmc004h","","","","","","","","","","",""
